"              播放->跳略播放->跳略播放 开|关

'              播放->跳略播放->跳略播放设置...

,              字幕->字幕同步(帧率)->滞后0.5 秒

Alt+,        字幕->字幕同步(帧率)->滞后50 秒

.              字幕->字幕同步(帧率)->超前0.5 秒

Alt+.        字幕->字幕同步(帧率)->超前50 秒

/              字幕->字幕同步(帧率)->复位

<             字幕->字幕同步(帧率)->滞后0.5 秒

>             字幕->字幕同步(帧率)->超前0.5 秒

[              播放->AB 区段循环->设定起点

Alt+[        播放->AB 区段循环->将起点步进0.1 秒

\              播放->AB 区段循环->区段循环 开|关

Alt+\        播放->AB 区段循环->当前章节/标记/书签 区段循环

]              播放->AB 区段循环->设定止点

Alt+]        播放->AB 区段循环->将止点步进0.1 秒

`              屏幕->迷你尺寸

{              播放->AB 区段循环->解除起点

}              播放->AB 区段循环->解除止点

Backspace           播放->定位->重新开始

Shift+Backspace  播放->定位->结束前30秒

Ctrl+Backspace    播放->定位->中段

Alt+Backspace      DVD->标题菜单

Tab                        配置/语言/其他->OSD信息

Shift+Tab               配置/语言/其他->简要信息

Enter                      屏幕->全屏

Ctrl+Enter              屏幕->全屏+(拉伸)

Ctrl+Shift+Enter     屏幕->全屏(其他显示器)

Alt+Enter               屏幕->全屏

Ctrl+Alt+Enter       屏幕->全屏+(保持比例)

Space                   播放->播放|暂停

PgUp                    电视->下一频道

Shift+PgUp          上一 书签/章节

Ctrl+PgUp      电视->前一收看频道

Alt+PgUp        字幕->字幕风格->字体+

PgDn          电视->上一频道

Shift+PgDn          下一 书签/章节

Ctrl+PgDn      电视->后一收看频道

Alt+PgDn        字幕->字幕风格->字体-

End            播放->定位->下一对白

Home          播放->定位->上一对白

Ctrl+Home      播放->定位->当前字幕起点

Alt+Home        字幕->字幕风格->复位

←              播放->定位->步退5 秒

Shift+←        播放->定位->步退1 分

Ctrl+←            播放->定位->步退30 秒

Ctrl+Shift+←    播放->定位->上一关键帧

Alt+←          字幕->字幕风格->左移

Ctrl+Alt+←          播放->定位->步退5 分

↑              声音->音量+

Shift+↑        声音->播放音量控制->主音量+

Alt+↑          字幕->字幕风格->上移

Ctrl+Alt+↑          声音->系统音量->波形音量+

Ctrl+Alt+Shift+↑  声音->系统音量->主音量+

→              播放->定位->步进5 秒

Shift+→        播放->定位->步进1 分

Ctrl+→            播放->定位->步进30 秒

Ctrl+Shift+→    播放->定位->下一关键帧

Alt+→          字幕->字幕风格->右移

Ctrl+Alt+→          播放->定位->步进5 分

↓              声音->音量-

Shift+↓        声音->播放音量控制->主音量-

Alt+↓          字幕->字幕风格->下移

Ctrl+Alt+↓          声音->系统音量->波形音量-

Ctrl+Alt+Shift+↓  声音->系统音量->主音量-

Insert            电视->最后收看频道

Ctrl+Insert      收藏->添加当前文件夹

Alt+Insert          收藏->添加当前文件

Delete            电视->跳转至指定频道...

Shift+Delete    播放->播放列表->删除->删除文件

Ctrl+Shift+Delete 播放->播放列表->删除->删除文件(+字幕)

0              屏幕->自定义尺寸设置...

1              屏幕->半倍屏

Alt+1          屏幕->显示器30% 尺寸

2              屏幕->1 倍屏

Alt+2          屏幕->显示器45% 尺寸

3              屏幕->1.5 倍屏

Alt+3          屏幕->显示器60% 尺寸

4              屏幕->2.0 倍屏

Alt+4          屏幕->显示器75% 尺寸

5              屏幕->最大化

6              屏幕->最大化|还原

7              屏幕->最大化+(过任务栏)|还原

8              屏幕->无边框尺寸

9              屏幕->自定义尺寸

A              声音->选择声音

Shift+A        声音->声音处理->语音增强

Alt+A          声音->选择声音->按序切换声音

